time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.0,0.029499043552623096,-2.9831825099762357,0.49368110991381575,0.0008600050229703501,0.009745495130708331,-0.015023238853883627,0.9999757613174722,0.006019302719184313,0.0006616707715741252,0.0034361263228844387,-0.008258462150184354,-0.009834720369148791,-0.006531243353568099
0.05,0.029385412338591214,-2.9827900145019193,0.49304922740663165,-0.005405253584245689,0.005954323841941939,-0.010252061433480687,0.9999773507157907,0.005838098561106172,0.0005324875241924437,0.003306224101096753,-0.00626668482503323,-0.0005128452514089714,-0.0038079373442206233
0.1,0.029092084058230872,-2.982568639033626,0.49263575821109234,-0.006327877630167986,0.002900694889787634,-0.006286706388092134,0.9999785534304687,0.005683532984360813,0.0005198876720824603,0.003212452160301637,-0.006098180133102287,-0.0004980967103854757,-0.0036946671794733403
0.15000000000000002,0.02877993810475071,-2.982401757601309,0.4924091727810208,-0.006157960509038473,0.00377456240290081,-0.0027767108147703674,0.9999796915480286,0.0055331308609281316,0.0005076208241663944,0.003121422053387676,-0.005933614865653748,-0.0004860250951528376,-0.0035885570381065804
0.2,0.02848009947554639,-2.98209525138684,0.49235376637496836,-0.00583558465913442,0.008485686175873603,0.0005604545726717418,0.9999807686704928,0.005386788592257466,0.0004956504591127311,0.00303300652918461,-0.005773403530279924,-0.00047423196031618446,-0.003485455867354014
0.25,0.02819598969119088,-2.9814610352405495,0.49246648493092776,-0.005528806715085913,0.016882959675740848,0.0039482876657037525,0.9999817880693973,0.00524439879085232,0.0004839698032965431,0.0029471315264252783,-0.005617429169638524,-0.0004627101725210847,-0.00338527327356353
0.30000000000000004,0.0279265039223738,-2.98031147099024,0.4927541657759575,-0.005250624037597313,0.029099610336637625,0.0075589461354847,0.9999827528405314,0.00510585695985016,0.00047257224635753793,0.0028637251616380308,-0.0054655774549059845,-0.0004514533446569687,-0.0032879252649445877
0.35000000000000003,0.027670408348889775,-2.978448582768552,0.49323113768517396,-0.004993198901763688,0.04541591853089133,0.01151993023317347,0.9999836659134156,0.004971061419465224,0.0004614513397607495,0.002782717654130738,-0.005317737317428955,-0.00044045449176556323,-0.0031933274601935314
0.4,0.02742681225171027,-2.9756598615894134,0.49391713401281123,-0.004750644985416549,0.06613292863464522,0.015919922872316705,0.9999845300605129,0.0048399139102222885,0.00045060009558154474,0.0027040400703297568,-0.005173746287235346,-0.0004297639650192805,-0.0031014960294068854
0.45,0.027195009766255617,-2.9717187962255136,0.49483547698254843,-0.004521454432769541,0.09150968592134348,0.020813795917171373,0.999985347903724,0.004712317063220985,0.00044001381203185116,0.002627628923662605,-0.005033695216645992,-0.0004191464273785026,-0.0030119798036373296
0.5,0.02697441931829563,-2.9663876217734346,0.4960115135533762,-0.00430216348563005,0.1217372921618187,0.02622766691593904,0.9999861219263279,0.004588177174758067,0.00042968641652036646,0.0025534201947982056,-0.004897200275060418,-0.00040894765300636654,-0.0029252718351028477
0.55,0.026764529842024157,-2.9594207409844793,0.4974712595005905,-0.004093415565228743,0.15693793939639022,0.03216217097263282,0.9999868544793211,0.004467404296342431,0.000419610524853225,0.002481349343586977,-0.004764345070926062,-0.0003989276633998305,-0.0028409200109192605
0.6000000000000001,0.02656482747095274,-2.950568171741592,0.4992402285265108,-0.0038946792776279587,0.19716483031909612,0.0385965900641778,0.9999875477851374,0.004349909275723442,0.0004097810547957154,0.0024113572110082055,-0.004634981962329822,-0.00038914025776550854,-0.0027589467233431484
0.65,0.026374822826791443,-2.9395788589428897,0.5013424426304747,-0.003705506488823903,0.24240768162900012,0.04549197409437763,0.9999882039472224,0.004235606026737281,0.00040019230444655706,0.0023433852149328136,-0.004509013407969092,-0.00037958148554764515,-0.002679283023436549
0.7000000000000001,0.026194047933874823,-2.9262037191768298,0.5037995939425322,-0.0035254892278408717,0.2925979090133959,0.05279407838792011,0.9999888249560606,0.004124410830492477,0.0003908386910027962,0.0022773764659920217,-0.0043863475616076255,-0.0003702454961528863,-0.0026018623391449425
0.75,0.02602205358832792,-2.9101984291236795,0.5066303466043238,-0.003354284594035161,0.34761369311261703,0.06043602808374583,0.999989412704732,0.004016242185372559,0.0003817147949851634,0.002213271587635997,-0.004266898750892419,-0.000361126139767524,-0.0025269501397323477
0.8,0.025858407266161933,-2.8913260275709267,0.5098497652531009,-0.003191568292604364,0.4072823689974997,0.06834071786733696,0.9999899689664827,0.003911019148921207,0.00037281571249441994,0.002151023994711591,-0.004150708173356422,-0.0003521842199849586,-0.0024532577405438926
0.8500000000000001,0.025702716780819267,-2.86935914875337,0.5134688600102251,-0.003036051121102293,0.4713927837047724,0.07642307241763267,0.9999904954265616,0.0038086646385216585,0.00036413662639204206,0.002090582426068086,-0.00403742567790205,-0.0003434539284849127,-0.002382447758751065
0.9,0.025554607199290737,-2.84408211364899,0.5174942388559696,-0.002888332140038892,0.53968862047043,0.08459208141214776,0.9999909936927514,0.0037091046777889465,0.00035567247870826744,0.0020318890502775085,-0.003927152731661196,-0.0003349229572279952,-0.002313382971096458
0.9500000000000001,0.02541371304058892,-2.8152929050020363,0.5219278561077246,-0.0027474342080337755,0.6118797254077148,0.09275260865805282,0.9999914652683749,0.00361226614153231,0.00034741819403544933,0.0019748986003030617,-0.0038197201206174075,-0.00032660109696232536,-0.0022461953849750864
1.0,0.025279686714721392,-2.782804784583661,0.5267668506164709,-0.002613618826667232,0.6876450913272869,0.1008071716917969,0.9999919115885388,0.0035180773225294243,0.0003393681623909346,0.0019195621517983505,-0.0037151835810852354,-0.0003185225641085832,-0.00218104534095137
