time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,mu,omega_dot_x,omega_dot_y,omega_dot_z
0.0,0.17499131028890744,-0.03695183304573146,0.9838763150711234,0.0,0.0,0.0,1.1297051760797516,0.0,0.0,0.0
0.05,0.17499111705466944,-0.036947884004495314,0.9838764977552903,-0.00031971134104570993,-1.6005441928209485e-05,7.811146591409059e-06,1.1293050942194427,-0.019182680462742595,-0.0009603265156925691,0.00046866879548454357
0.1,0.17498790484771398,-0.036890368986163005,0.9838792270929193,-0.00241791204371432,-0.00015351744846839148,6.174311492135591e-05,1.1285100347036965,-0.06834400077188882,-0.005369740845333213,0.0018299117133431793
0.15000000000000002,0.17497051428830185,-0.0366605703449339,0.9838909085813943,-0.007426237485450573,-0.0006460370277230599,0.0002042224855020236,1.127929992852221,-0.13383288511399394,-0.01536260525066561,0.00399636468577961
0.2,0.17491446143480224,-0.036098137485721125,0.9839216691285669,-0.01593599792380362,-0.0017905897955090952,0.0004734139206337407,1.1278191885665358,-0.2074096115774933,-0.03140417897444658,0.006884877886281466
0.25,0.17478069601524857,-0.035021698136563424,0.9839843390766533,-0.028227802387507918,-0.0038728346516955056,0.0009034253403474584,1.1282006166130014,-0.28462256269947334,-0.05262853628989483,0.010416295059820613
0.30000000000000004,0.17451761566958038,-0.03324010625286666,0.9840928213950667,-0.04442253286063291,-0.007108396768101481,0.0015245022061622692,1.12900149209475,-0.3632922338343707,-0.0771500942215173,0.014515239006147795
0.35000000000000003,0.17406556162651657,-0.030558048047930525,0.9842598038241179,-0.06456009381930265,-0.01159917640236693,0.0023632112985546546,1.1301349658770283,-0.44214598787072756,-0.10235159186432144,0.01910990640801996
0.4,0.17336308530010128,-0.026779366716813108,0.9844938148329173,-0.08861465868281784,-0.017303523524571485,0.0034426145413161595,1.1315303970635744,-0.5196513640138146,-0.12515114370939703,0.02413187547100578
0.45,0.17235433595390853,-0.021710992502274415,0.9847956993820506,-0.11645756340033928,-0.02401928424632539,0.004782433601959918,1.1331273294125126,-0.5930967309362114,-0.1422503039355978,0.02951592991227271
0.5,0.1709969764831953,-0.015169775457048194,0.9851547361001883,-0.14778139433730453,-0.03137879460634724,0.006399206171438816,1.134840551907972,-0.6579658515105413,-0.15036390545475706,0.03519990268726278
0.55,0.16927008679124977,-0.006993814936491663,0.9855448523024505,-0.18200102719406525,-0.038854896053731484,0.00830643498734167,1.136498990321427,-0.707647690645183,-0.1464307826897396,0.04112454246158126
0.6000000000000001,0.1671815615013397,0.00294093629598121,0.9859217011732111,-0.21814925123416112,-0.0457769518518817,0.010514730800545932,1.1377787064333185,-0.7335147997201235,-0.12780239851835187,0.047233405212839016
0.65,0.16477455160468932,0.01469894461151326,0.9862216845226164,-0.25478602816742807,-0.051355635223342085,0.013031950584017455,1.1382066162657771,-0.7253931688760914,-0.09240397341348888,0.05347277248760971
0.7000000000000001,0.16213254291709325,0.028259434733261535,0.9863642184086607,-0.28994127492877064,-0.05471492498229324,0.015863332332640534,1.13741270558542,-0.6724339464520804,-0.038860095652384914,0.05979159676239839
0.75,0.1593827200655847,0.04348911356419828,0.9862584786797247,-0.3211112338198835,-0.05492927704435437,0.019011627794756368,1.1359137098223604,-0.5643833844629103,0.0334258467622913,0.06614147310713156
0.8,0.15669735402860363,0.060116751085936934,0.9858153342390853,-0.3453276011662677,-0.05106339995467483,0.022477234386047127,1.1351136628420904,-0.39321208994610024,0.12424821026032437,0.07247663401347079
0.8500000000000001,0.15429308849666074,0.07771407012390032,0.9849640280204243,-0.3593122030528434,-0.04221217895022705,0.02625832715449543,1.1360403453083385,-0.15482640973028106,0.23260719784405046,0.07875395242332883
0.9,0.15242813094665048,0.09568753432171546,0.9836714530395017,-0.35970911869268163,-0.02754054245676811,0.03035099058982224,1.1388498177745463,0.14962667728239143,0.3566944482378767,0.08493292851972081
0.9500000000000001,0.1513974248269261,0.11328435833387165,0.9819599818620501,-0.3433650695389523,-0.006325110627742499,0.03474934904243599,1.1425972736711119,0.5131477114341827,0.49383910855351587,0.09097564677422189
1.0,0.15152594307466308,0.12961380638780057,0.9799183642976113,-0.30762194826962813,0.022000928121426195,0.03944569420481846,1.1456322965345385,0.9230127023640888,0.6404373522397183,0.09684670128316457
1.05,0.15316032860351408,0.14368235453660816,0.9776998554736596,-0.25058712286251894,0.05779993260807534,0.0444306081640225,1.147199951570833,1.3614782796954645,0.7919140766366817,0.10251309538831035
1.1,0.15665917827005787,0.15443944846705518,0.9755028824377636,-0.17136090292738326,0.101182161208755,0.04969308104039544,1.1475795362181973,1.8067368993887463,0.9427803264532841,0.10794412729821315
1.1500000000000001,0.16238225264199752,0.160830150443288,0.9735321947020605,-0.07021369004100261,0.15196413123227445,0.05522062265652289,1.14718430996687,2.2339800920405315,1.0868165350021288,0.11311126496886058
1.2000000000000002,0.17067868169732459,0.1618517957442839,0.9719422696941139,0.05129360122788798,0.20963923655681066,0.0609993675967215,1.1462338401597603,2.616612981765403,1.21737805442154,0.11798800620590813
1.25,0.18187382743552397,0.15661331293576372,0.9707692322610884,0.19025447316944763,0.2733664341181096,0.067014172844865,1.1447172196645703,2.927657773524869,1.3278094204618205,0.12254972150803309
1.3,0.19625405538835028,0.14439744027944104,0.9698619590605893,0.34243687437410286,0.3419819054463704,0.073248707137248,1.142503000768609,3.1413523129080123,1.4119443971047636,0.12677348019354928
1.35,0.21404857479514464,0.12472671122477302,0.9688265091575908,0.5023874397843573,0.41403717157604064,0.07968553128172634,1.139607733856077,3.234910971737658,1.4646572385949863,0.1306378639294505
