time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-0.178630,-2.725608,1.472707,0.002086,0.009082,-0.015126,-0.258650,-0.008244,0.106977,6.439504,-3.830159,-0.480731,-143.874106,129.967983,0.143228
0.010000,-0.178621,-2.725518,1.472561,-0.000202,0.008829,-0.014080,-0.201117,-0.040413,0.102185,5.099325,-2.639463,-0.476861,-124.454933,108.555296,0.623080
0.020000,-0.178632,-2.725432,1.472425,-0.001978,0.008310,-0.013082,-0.156045,-0.061709,0.097455,3.944676,-1.651562,-0.468419,-106.754756,89.390072,1.057961
0.030000,-0.178659,-2.725353,1.472299,-0.003359,0.007625,-0.012131,-0.121661,-0.074047,0.092830,2.958766,-0.844551,-0.455847,-90.693764,72.357990,1.449479
0.040000,-0.178698,-2.725280,1.472183,-0.004442,0.006854,-0.011225,-0.096360,-0.079133,0.088350,2.125602,-0.197673,-0.439569,-76.192146,57.344735,1.799241
0.050000,-0.178747,-2.725216,1.472075,-0.005311,0.006061,-0.010363,-0.078691,-0.078469,0.084050,1.429991,0.308692,-0.419996,-63.170091,44.235986,2.108857
0.060000,-0.178804,-2.725159,1.471975,-0.006037,0.005299,-0.009543,-0.067350,-0.073366,0.079960,0.857535,0.693014,-0.397520,-51.547788,32.917427,2.379933
0.070000,-0.178868,-2.725109,1.471884,-0.006675,0.004605,-0.008763,-0.061175,-0.064958,0.076108,0.394635,0.972626,-0.372520,-41.245425,23.274740,2.614080
0.080000,-0.178937,-2.725067,1.471800,-0.007274,0.004008,-0.008020,-0.059135,-0.054209,0.072517,0.028493,1.163714,-0.345356,-32.183192,15.193605,2.812904
0.090000,-0.179013,-2.725029,1.471723,-0.007869,0.003526,-0.007312,-0.060323,-0.041928,0.069207,-0.252896,1.281323,-0.316374,-24.281277,8.559705,2.978014
0.100000,-0.179095,-2.724996,1.471653,-0.008488,0.003172,-0.006635,-0.063948,-0.028781,0.066194,-0.460735,1.339352,-0.285903,-17.459870,3.258722,3.111018
