time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-0.178630,-2.725608,1.472707,-0.002349,0.007850,-0.012649,-0.046047,-0.034471,0.042241,-0.338795,-0.139451,0.334185,-0.270147,5.147250,-1.391544
0.050000,-0.178747,-2.725216,1.472075,-0.004651,0.006126,-0.010537,-0.062987,-0.041444,0.058950,-0.352302,0.117912,0.264608,-0.017704,8.654285,-3.368171
0.100000,-0.179095,-2.724996,1.471653,-0.008647,0.003705,-0.006754,-0.081277,-0.022680,0.068702,-0.340565,0.725978,-0.002632,-0.388721,9.459220,-3.869822
0.150000,-0.179612,-2.724845,1.471399,-0.012779,0.003858,-0.003666,-0.097043,0.031154,0.058687,-0.391174,1.063834,-0.122374,0.429003,3.048817,0.301504
0.200000,-0.180373,-2.724610,1.471287,-0.018352,0.006821,-0.000885,-0.120395,0.083703,0.056465,-0.297665,1.030859,0.027518,5.054372,0.391779,2.787264
0.250000,-0.181447,-2.724163,1.471311,-0.024818,0.012228,0.001980,-0.126810,0.134240,0.061439,0.114263,1.103012,0.156352,8.997737,3.634282,2.225946
0.300000,-0.182854,-2.723387,1.471485,-0.031033,0.020245,0.005259,-0.108968,0.194005,0.072100,0.602109,1.394288,0.250113,9.407141,7.673336,1.460950
0.350000,-0.184550,-2.722139,1.471837,-0.035715,0.031629,0.009190,-0.066599,0.273669,0.086450,1.054977,1.870345,0.302447,8.020810,10.735954,0.623847
0.400000,-0.186426,-2.720224,1.472404,-0.037693,0.047612,0.013904,-0.003471,0.381039,0.102344,1.404190,2.467883,0.312498,5.459144,12.428117,-0.199824
0.450000,-0.188319,-2.717378,1.473227,-0.036062,0.069733,0.019424,0.073820,0.520457,0.117700,1.600892,3.113157,0.282465,2.066932,12.568391,-0.970335
0.500000,-0.190032,-2.713251,1.474346,-0.030311,0.099657,0.025674,0.156618,0.692355,0.130591,1.610883,3.724722,0.215464,-1.868326,11.048574,-1.681128
0.550000,-0.191351,-2.707412,1.475794,-0.020400,0.138968,0.032483,0.234908,0.892929,0.139247,1.414059,4.218014,0.114352,-6.062340,7.894617,-2.335004
0.600000,-0.192072,-2.699354,1.477595,-0.006820,0.188950,0.039599,0.298024,1.114156,0.142026,1.004649,4.514184,-0.018036,-10.221420,3.343204,-2.915592
0.650000,-0.192033,-2.688517,1.479754,0.009402,0.250384,0.046686,0.335373,1.344348,0.137443,0.391917,4.552335,-0.177207,-14.029807,-2.099962,-3.367714
0.700000,-0.191132,-2.674316,1.482263,0.026718,0.323385,0.053343,0.337216,1.569390,0.124305,-0.398332,4.304188,-0.354808,-17.142931,-7.638586,-3.605917
0.750000,-0.189361,-2.656178,1.485089,0.043124,0.407323,0.059117,0.295540,1.774766,0.101962,-1.322376,3.788476,-0.537799,-19.204779,-12.272212,-3.560012
0.800000,-0.186820,-2.633583,1.488175,0.056272,0.500862,0.063539,0.204978,1.948237,0.070525,-2.318810,3.076967,-0.710809,-19.893384,-15.044027,-3.242866
0.850000,-0.183734,-2.606092,1.491443,0.063622,0.602147,0.066169,0.063659,2.082463,0.030881,-3.311715,2.284073,-0.862086,-18.985187,-15.373968,-2.805563
0.900000,-0.180457,-2.573369,1.494792,0.062637,0.709108,0.066627,-0.126193,2.176645,-0.015683,-4.217328,1.539570,-0.991365,-16.408406,-13.311087,-2.539023
0.950000,-0.177470,-2.535181,1.498105,0.051002,0.819811,0.064601,-0.358074,2.236420,-0.068255,-4.952555,0.952965,-1.115988,-12.254623,-9.554210,-2.799925
1.000000,-0.175357,-2.491388,1.501252,0.026830,0.932750,0.059802,-0.621449,2.271941,-0.127282,-5.442791,0.584149,-1.271358,-6.753589,-5.214223,-3.880179
1.050000,-0.174787,-2.441906,1.504085,-0.011143,1.047005,0.051873,-0.902353,2.294835,-0.195391,-5.627914,0.431542,-1.504006,-0.220874,-1.451891,-5.868471
1.100000,-0.176471,-2.386687,1.506439,-0.063405,1.162233,0.040263,-1.184240,2.315095,-0.277683,-5.464878,0.438960,-1.858205,7.004809,0.814858,-8.549827
1.150000,-0.181127,-2.325683,1.508112,-0.129567,1.278515,0.024104,-1.448841,2.338731,-0.381212,-4.927433,0.513028,-2.358989,14.578326,1.037678,-11.373596
1.200000,-0.189428,-2.258836,1.508850,-0.208289,1.396106,0.002141,-1.676983,2.366398,-0.513581,-4.007046,0.542727,-2.995565,22.115389,-0.940202,-13.503155
1.250000,-0.201956,-2.186072,1.508326,-0.297265,1.515154,-0.027254,-1.849545,2.393004,-0.680768,-2.715894,0.419008,-3.709304,29.158520,-4.892516,-13.944655
1.300000,-0.219155,-2.107320,1.506124,-0.393244,1.635407,-0.065935,-1.948573,2.408299,-0.884512,-1.091194,0.053476,-4.390030,35.140378,-10.236661,-11.742656
1.350000,-0.241281,-2.022532,1.501732,-0.492122,1.755984,-0.115705,-1.958665,2.398351,-1.119771,0.798144,-0.604658,-4.883570,39.353569,-16.071617,-6.222512
1.400000,-0.268367,-1.931722,1.494554,-0.589110,1.875242,-0.177912,-1.868758,2.347833,-1.372869,2.844163,-1.553686,-5.012281,40.985385,-21.250068,2.755251
1.450000,-0.300192,-1.835007,1.483941,-0.678998,1.990768,-0.252992,-1.674248,2.242983,-1.620999,4.896682,-2.729665,-4.608045,39.254541,-24.524732,14.588206
1.500000,-0.336267,-1.732645,1.469254,-0.756535,2.099540,-0.340012,-1.379090,2.074867,-1.833673,6.769617,-4.006159,-3.553461,33.643426,-24.780924,27.860420
1.550000,-0.375845,-1.625053,1.449940,-0.816907,2.198254,-0.436359,-0.997286,1.842367,-1.976345,8.261025,-5.207757,-1.822003,24.169022,-21.334025,40.494797
