time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
1.800000,0.145918,-1.979825,1.604500,0.324559,1.061839,-0.106949,-3.842470,-0.040372,-0.844403,-14.799175,7.460092,2.381985,53.142298,50.889878,3.330751
1.850000,0.157300,-1.926826,1.598093,0.113627,1.069364,-0.145918,-4.514857,0.397796,-0.719885,-11.650320,9.671912,2.127536,70.955398,35.763439,-14.703405
1.900000,0.157281,-1.872889,1.589908,-0.126926,1.101618,-0.178937,-5.007502,0.926819,-0.631649,-7.703635,11.036436,0.911645,85.238784,18.179857,-33.214106
1.950000,0.144607,-1.816664,1.580199,-0.387124,1.162046,-0.209083,-5.285220,1.501439,-0.628721,-3.126441,11.489897,-1.193875,96.584733,0.116035,-47.948003
2.000000,0.118568,-1.756685,1.569000,-0.655448,1.251762,-0.241809,-5.320147,2.075808,-0.751037,1.954838,11.048040,-3.883156,105.492408,-17.279308,-54.196197
2.050000,0.079062,-1.691488,1.556018,-0.919138,1.369626,-0.284187,-5.089737,2.606243,-1.017037,7.422799,9.761967,-6.613494,111.311343,-33.528717,-47.798319
2.100000,0.026655,-1.619722,1.540581,-1.164422,1.512386,-0.343513,-4.577867,3.052005,-1.412386,13.085972,7.695168,-8.662988,111.565796,-48.257801,-26.494656
2.150000,-0.037380,-1.540249,1.521667,-1.376925,1.674827,-0.425425,-3.781139,3.375760,-1.883335,18.579379,4.936186,-9.262960,102.238388,-60.578654,8.631661
2.200000,-0.111038,-1.452239,1.498039,-1.542536,1.849962,-0.531847,-2.719929,3.545624,-2.338682,23.309811,1.637303,-7.799821,79.290922,-68.860340,52.204753
2.250000,-0.191633,-1.355253,1.468482,-1.648918,2.029389,-0.659294,-1.450158,3.539490,-2.663317,26.508471,-1.949848,-4.042485,41.059655,-71.073777,94.917638
2.300000,-0.275930,-1.249300,1.432109,-1.687552,2.203911,-0.798178,-0.069082,3.350639,-2.742931,27.415776,-5.470075,1.691942,-9.554864,-65.579341,125.735583
2.350000,-0.360388,-1.134862,1.388664,-1.655826,2.364453,-0.933587,1.291419,2.992483,-2.494123,25.552985,-8.507782,8.531074,-64.480546,-52.039430,135.497061
2.400000,-0.441512,-1.012855,1.338750,-1.558410,2.503160,-1.047591,2.486217,2.499861,-1.889823,20.967722,-10.674018,15.241648,-112.270491,-32.002681,120.395248
2.450000,-0.516229,-0.884546,1.283905,-1.407204,2.614439,-1.122569,3.388192,1.925081,-0.969958,14.325936,-11.708050,20.570598,-141.811842,-8.754997,83.568909
2.500000,-0.582233,-0.751411,1.226494,-1.219591,2.695668,-1.144587,3.918811,1.329056,0.167237,6.786538,-11.549518,23.598539,-146.256392,13.589339,33.923205
2.550000,-0.638188,-0.614979,1.169447,-1.015323,2.747345,-1.105845,4.066845,0.770129,1.389896,-0.299703,-10.349116,23.962919,-125.330138,31.332424,-17.251072
2.600000,-0.683765,-0.476677,1.115909,-0.812906,2.772681,-1.005597,3.888840,0.294144,2.563529,-5.746476,-8.416275,21.873432,-85.118751,42.183226,-60.225728
2.650000,-0.719479,-0.337711,1.068887,-0.626439,2.776759,-0.849493,3.492198,-0.071498,3.577239,-8.811578,-6.130793,17.940346,-35.726195,45.605733,-89.607254
2.700000,-0.746409,-0.199001,1.030960,-0.463686,2.765531,-0.647873,3.007682,-0.318935,4.357563,-9.319096,-3.855702,12.912707,11.922825,42.513649,-104.970236
2.750000,-0.765848,-0.061158,1.004099,-0.325671,2.744866,-0.413736,2.560288,-0.457069,4.868509,-7.619296,-1.879428,7.443322,48.800240,34.599135,-109.504187
2.800000,-0.778976,0.075486,0.989586,-0.207657,2.719824,-0.161022,2.245753,-0.506878,5.101895,-4.439072,-0.395789,1.962288,69.270928,23.666241,-107.636951
2.850000,-0.786613,0.210825,0.987997,-0.101096,2.694178,0.096453,2.116381,-0.496647,5.064738,-0.692203,0.487196,-3.320373,71.385556,11.229101,-102.790619
2.900000,-0.789086,0.344904,0.999231,0.003981,2.670159,0.345452,2.176532,-0.458158,4.769858,2.699484,0.727121,-8.316774,56.447293,-1.554311,-96.100669
2.950000,-0.786215,0.477840,1.022542,0.116558,2.648362,0.573439,2.386329,-0.423935,4.233061,4.952526,0.331765,-12.930440,28.343094,-13.702317,-86.393934
3.000000,-0.777430,0.609740,1.056575,0.242614,2.627766,0.768758,2.671785,-0.424982,3.476814,5.533793,-0.643110,-16.956167,-7.144902,-24.155952,-71.237975
3.050000,-0.761954,0.740617,1.099418,0.383736,2.605864,0.921121,2.939709,-0.488246,2.537444,4.238036,-2.083830,-20.054237,-43.117541,-31.633930,-48.554613
3.100000,-0.739056,0.870326,1.148687,0.536585,2.578941,1.022502,3.095589,-0.633365,1.471390,1.222039,-3.806503,-21.811629,-72.583046,-34.730321,-18.146747
3.150000,-0.708296,0.998511,1.201668,0.693295,2.542527,1.068260,3.061913,-0.868897,0.356281,-3.020269,-5.556863,-21.868912,-89.734908,-32.283814,17.475091
3.200000,-0.669727,1.124579,1.255513,0.842776,2.492051,1.058130,2.793562,-1.189051,-0.715501,-7.751451,-7.034885,-20.064120,-91.228063,-23.900590,53.343425
3.250000,-0.624018,1.247716,1.307481,0.972651,2.423622,0.996709,2.286768,-1.572385,-1.650131,-12.143075,-7.946922,-16.534570,-77.019021,-10.388996,83.329848
3.300000,-0.572462,1.366941,1.355184,1.071453,2.334813,0.893117,1.579254,-1.983743,-2.368958,-15.453354,-8.073784,-11.731135,-50.385476,6.152397,102.012891
3.350000,-0.516873,1.481198,1.396793,1.130577,2.225248,0.759814,0.741432,-2.379764,-2.823244,-17.181623,-7.331682,-6.333280,-17.023733,22.721236,106.381385
3.400000,-0.459404,1.589466,1.431166,1.145596,2.096836,0.610793,-0.138908,-2.716912,-3.002286,-17.155727,-5.801661,-1.092996,16.511177,36.185147,96.707281
3.450000,-0.402313,1.690881,1.457872,1.116686,1.953557,0.459585,-0.974140,-2.959930,-2.932544,-15.530505,-3.713167,3.337448,44.507655,44.188012,76.302373
3.500000,-0.347735,1.784822,1.477124,1.048182,1.800844,0.317538,-1.691958,-3.088228,-2.668541,-12.704961,-1.382859,6.537241,63.380371,45.839423,50.335526
3.550000,-0.297495,1.870966,1.489626,0.947490,1.644734,0.192731,-2.244637,-3.098216,-2.278820,-9.192468,0.870775,8.371000,72.125787,41.833822,24.210670
3.600000,-0.252986,1.949295,1.496397,0.823718,1.491022,0.089656,-2.611205,-3.001151,-1.831441,-5.492383,2.800523,8.958308,71.901970,33.926997,2.136616
3.650000,-0.215123,2.020068,1.498592,0.686370,1.344619,0.009587,-2.793875,-2.818163,-1.382989,-2.002271,4.263475,8.584662,65.093007,24.145107,-13.613404
3.700000,-0.184349,2.083757,1.497356,0.544331,1.209206,-0.048642,-2.811432,-2.574803,-0.972975,1.016918,5.215034,7.596968,54.358753,14.191355,-22.659699
3.750000,-0.160690,2.140988,1.493728,0.405226,1.087139,-0.087711,-2.692183,-2.296660,-0.623292,3.433605,5.682610,6.318692,41.988990,5.207775,-25.974291
3.800000,-0.143827,2.192471,1.488585,0.275112,0.979540,-0.110972,-2.468072,-2.006542,-0.341106,5.215817,5.735811,4.999538,29.626285,-2.204621,-25.202226
3.850000,-0.133179,2.238942,1.482631,0.158419,0.886484,-0.121821,-2.170601,-1.723079,-0.123338,6.396233,5.462148,3.798469,18.268117,-7.847318,-22.085461
